date,state,contact,age,gender,category_level2,category_level3,amount,no_of_reports
2023-08-01,SA,Social media/Online forums,25 - 34,M,Attempts to gain your personal information,Identity theft,500.0,1
2023-10-01,NSW,Social media/Online forums,25 - 34,M,Attempts to gain your personal information,Identity theft,700.0,1
2023-11-01,NSW,Social media/Online forums,25 - 34,M,Attempts to gain your personal information,Identity theft,1212.0,3
2023-03-01,NSW,Social media/Online forums,25 - 34,F,Attempts to gain your personal information,Remote access scams,400.0,1
2023-05-01,SA,Social media/Online forums,25 - 34,M,Attempts to gain your personal information,Remote access scams,100.0,1
2023-05-01,VIC,Social media/Online forums,25 - 34,F,Attempts to gain your personal information,Remote access scams,1500.0,1
2023-11-01,VIC,Social media/Online forums,25 - 34,F,Attempts to gain your personal information,Remote access scams,3584.0,1
2023-01-01,QLD,Social media/Online forums,25 - 34,M,Attempts to gain your personal information,Phishing,425.0,1
2023-10-01,VIC,Social media/Online forums,25 - 34,M,Attempts to gain your personal information,Phishing,1300.0,1
2023-01-01,ACT,Social media/Online forums,25 - 34,F,Attempts to gain your personal information,Phishing,4500.0,1
2023-10-01,SA,Social media/Online forums,25 - 34,F,Attempts to gain your personal information,Phishing,4.0,1
2023-11-01,NSW,Social media/Online forums,25 - 34,F,Attempts to gain your personal information,Phishing,300.0,1
2023-03-01,NSW,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,35000.0,1
2023-07-01,NSW,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,37430.0,3
2023-11-01,NSW,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,70000.0,1
2023-04-01,VIC,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,200.0,1
2023-09-01,VIC,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,28000.0,2
2023-06-01,QLD,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,65100.0,2
2023-09-01,QLD,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,33691.0,1
2023-04-01,WA,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,6218.0,1
2023-11-01,WA,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,88033.0,1
2023-01-01,OTHERS,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,39700.0,1
2023-01-01,NT,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,650.0,1
2023-04-01,TAS,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,26600.0,1
2023-04-01,SA,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,4000.0,1
2023-06-01,ACT,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,30000.0,1
2023-07-01,SA,Social media/Online forums,25 - 34,F,Dating and romance,Dating and romance scams,27000.0,1
2023-04-01,WA,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,6000.0,1
2023-12-01,WA,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,500.0,1
2023-01-01,QLD,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,2650.0,2
2023-05-01,QLD,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,650.0,2
2023-06-01,QLD,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,80000.0,1
2023-08-01,QLD,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,13060.0,3
2023-03-01,NSW,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,7000.0,1
2023-11-01,NSW,Social media/Online forums,25 - 34,M,Dating and romance,Dating and romance scams,70095.0,4
2023-06-01,NSW,Social media/Online forums,25 - 34,X,Dating and romance,Dating and romance scams,2000.0,1
2023-05-01,ACT,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,55607.0,2
2023-05-01,ACT,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,27000.0,2
2023-05-01,NT,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,500.0,1
2023-02-01,SA,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,44500.0,2
2023-03-01,SA,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,25000.0,1
2023-05-01,SA,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,25000.0,1
2023-09-01,SA,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,19000.0,1
2023-03-01,WA,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,24000.0,1
2023-03-01,WA,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,1737.0,2
2023-04-01,WA,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,11830.0,1
2023-07-01,WA,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,16000.0,1
2023-09-01,WA,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,7500.0,1
2023-11-01,WA,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,2000.0,1
2023-12-01,WA,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,10200.0,1
2023-06-01,OTHERS,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,55000.0,1
2023-12-01,OTHERS,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,5114.0,1
2023-07-01,QLD,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,800.0,1
2023-10-01,QLD,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,2600.0,1
2023-12-01,QLD,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,1500.0,1
2023-03-01,QLD,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,216706.0,2
2023-04-01,QLD,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,9487.0,3
2023-09-01,QLD,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,2000.0,1
2023-04-01,VIC,Social media/Online forums,25 - 34,X,Jobs and employment,Jobs and employment scams,378.0,1
2023-03-01,VIC,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,10100.0,1
2023-04-01,VIC,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,95000.0,2
2023-06-01,VIC,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,2500.0,1
2023-09-01,VIC,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,5300.0,1
2023-10-01,VIC,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,2500.0,1
2023-02-01,VIC,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,13949.0,1
2023-03-01,VIC,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,30453.0,3
2023-04-01,VIC,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,27568.0,5
2023-07-01,VIC,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,5000.0,1
2023-09-01,VIC,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,108500.0,3
2023-10-01,NSW,Social media/Online forums,25 - 34,M,Jobs and employment,Jobs and employment scams,37476.0,1
2023-05-01,NSW,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,59336.0,8
2023-11-01,NSW,Social media/Online forums,25 - 34,F,Jobs and employment,Jobs and employment scams,11427.0,1
2023-01-01,VIC,Social media/Online forums,25 - 34,F,Threats and extortion,"Threats to life, arrest or other",4000.0,1
2023-08-01,NSW,Social media/Online forums,25 - 34,F,Threats and extortion,"Threats to life, arrest or other",130000.0,1
2023-03-01,NSW,Social media/Online forums,25 - 34,M,Threats and extortion,"Threats to life, arrest or other",7300.0,2
2023-03-01,QLD,Social media/Online forums,25 - 34,M,Threats and extortion,"Threats to life, arrest or other",350.0,1
2023-04-01,SA,Social media/Online forums,25 - 34,M,Threats and extortion,"Threats to life, arrest or other",5000.0,1
2023-04-01,QLD,Social media/Online forums,25 - 34,M,Threats and extortion,"Threats to life, arrest or other",214.0,1
2023-08-01,VIC,Social media/Online forums,25 - 34,M,Threats and extortion,"Threats to life, arrest or other",2250.0,1
2023-09-01,VIC,Social media/Online forums,25 - 34,M,Threats and extortion,"Threats to life, arrest or other",8800.0,2
2023-09-01,NSW,Social media/Online forums,25 - 34,M,Threats and extortion,"Threats to life, arrest or other",2504.0,1
2023-10-01,QLD,Social media/Online forums,25 - 34,M,Threats and extortion,"Threats to life, arrest or other",742078.0,1
2023-10-01,WA,Social media/Online forums,25 - 34,M,Threats and extortion,"Threats to life, arrest or other",1300.0,2
2023-06-01,QLD,Social media/Online forums,25 - 34,M,Threats and extortion,"Threats to life, arrest or other",1000.0,1
2023-08-01,QLD,Social media/Online forums,25 - 34,M,Threats and extortion,"Threats to life, arrest or other",1000.0,1
2023-12-01,SA,Social media/Online forums,25 - 34,M,Threats and extortion,"Threats to life, arrest or other",2296.0,2
2023-02-01,NSW,Social media/Online forums,25 - 34,F,Jobs and employment,Pyramid schemes,290.0,1
2023-01-01,NSW,Social media/Online forums,25 - 34,M,Investment scams,Betting and sports investment scams,870.0,1
2023-06-01,SA,Social media/Online forums,25 - 34,M,Investment scams,Betting and sports investment scams,865.0,1
2023-07-01,WA,Social media/Online forums,25 - 34,M,Investment scams,Betting and sports investment scams,500.0,1
2023-07-01,NSW,Social media/Online forums,25 - 34,M,Investment scams,Betting and sports investment scams,5000.0,1
2023-07-01,ACT,Social media/Online forums,25 - 34,M,Investment scams,Betting and sports investment scams,3700.0,1
2023-08-01,NSW,Social media/Online forums,25 - 34,M,Investment scams,Betting and sports investment scams,6440.0,2
2023-09-01,WA,Social media/Online forums,25 - 34,M,Investment scams,Betting and sports investment scams,200.0,1
2023-06-01,NSW,Social media/Online forums,25 - 34,M,Fake charities,Fake charity scams,100.0,1
2023-06-01,NSW,Social media/Online forums,25 - 34,M,Threats and extortion,Ransomware and malware,225.0,1
2023-01-01,WA,Social media/Online forums,25 - 34,M,Unexpected winnings,"Travel, prizes and lottery scams",8000.0,1
2023-03-01,NSW,Social media/Online forums,25 - 34,M,Unexpected winnings,"Travel, prizes and lottery scams",6.0,1
2023-04-01,OTHERS,Social media/Online forums,25 - 34,M,Unexpected winnings,"Travel, prizes and lottery scams",350.0,1
2023-05-01,QLD,Social media/Online forums,25 - 34,M,Unexpected winnings,"Travel, prizes and lottery scams",1.0,1
2023-06-01,NSW,Social media/Online forums,25 - 34,F,Unexpected winnings,"Travel, prizes and lottery scams",107.0,1
2023-07-01,NSW,Social media/Online forums,25 - 34,M,Unexpected winnings,"Travel, prizes and lottery scams",2250.0,1
